"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id","gene_length","gene_biotype","entrezgene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"JAKMIP1","ENSG00000152969","JAKMIP1","ENSG00000152969.15",3673,"protein_coding","152789",2.30621116672149,-0.426392639174074,9.69568936799432,9.30522352409101e-16,2.89265562187538e-13,25.227892337981
"DOK2","ENSG00000147443","DOK2","ENSG00000147443.11",2211,"protein_coding","9046",1.82718464895282,2.82196192459308,9.67539404872962,1.02703837527001e-15,3.12174019932072e-13,25.332447401282
"CD2","ENSG00000116824","CD2","ENSG00000116824.4",1679,"protein_coding","914",2.06379752373511,3.058758432729,9.66550291881129,1.07764491409873e-15,3.20435372500923e-13,25.2808600469586
"IL4I1","ENSG00000104951","IL4I1","ENSG00000104951.14",2563,"protein_coding","259307",2.29776648599968,3.38862028134275,9.58960277230371,1.55877783383741e-15,4.52423021149233e-13,24.9086784461781
"ZDHHC9","ENSG00000188706","ZDHHC9","ENSG00000188706.11",5243,"protein_coding","51114",-1.10037400222034,6.98266849537505,-9.58582525267527,1.58768131416605e-15,4.52423021149233e-13,24.7440646933441
"ZKSCAN1","ENSG00000106261","ZKSCAN1","ENSG00000106261.15",10319,"protein_coding","7586",-1.24500395782316,7.05324213027827,-9.56884405504082,1.7243788226811e-15,4.81348031359838e-13,24.6628878617414
"RARRES3","ENSG00000133321","RARRES3","ENSG00000133321.9",1299,"protein_coding","5920",2.56916617680597,4.92242361363964,9.50947154951215,2.30171498436097e-15,6.29657151121787e-13,24.4387395015738
"PSMB10","ENSG00000205220","PSMB10","ENSG00000205220.10",1853,"protein_coding","5699",1.3266909154483,6.00478918385162,9.45550245624554,2.99269164742605e-15,8.0262816379399e-13,24.1169205775475
"HLA-DPB1","ENSG00000223865","HLA-DPB1","ENSG00000223865.9",2791,"protein_coding","3115",2.30496829083436,6.90126130400648,9.45001599105959,3.07363551178261e-15,8.08484356349279e-13,24.0803735149452
"ABI3","ENSG00000108798","ABI3","ENSG00000108798.7",2456,"protein_coding","51225",1.43981489317496,3.36927788240943,9.41862106171313,3.58076390296407e-15,9.24107333297028e-13,24.0863084872064
"HLA-DMA","ENSG00000204257","HLA-DMA","ENSG00000204257.13",2534,"protein_coding","3108",2.14983794891078,5.63619773007904,9.31530020423323,5.91889699881039e-15,1.49923468795794e-12,23.4578345248564
"GPX1","ENSG00000233276","GPX1","ENSG00000233276.3",1425,"protein_coding","2876",0.858371513807906,7.83648015476712,9.29000040717499,6.69396295983228e-15,1.66472773390156e-12,23.3080531587316
"C1QB","ENSG00000173369","C1QB","ENSG00000173369.14",1601,"protein_coding","713",2.20181976050787,6.58229913244266,9.28571891999406,6.83482180094009e-15,1.66940522487962e-12,23.2904277500174
"IFNG","ENSG00000111537","IFNG","ENSG00000111537.4",1218,"protein_coding","3458",3.33904117727249,-1.99410237709221,9.2595329075095,7.76317129431818e-15,1.86288871866112e-12,23.0255477591253
"PCED1B-AS1","ENSG00000247774","PCED1B-AS1","ENSG00000247774.5",3092,"processed_transcript","100233209",1.64664968407634,1.48439504848279,9.23457003738279,8.76526456908835e-15,2.06709118579294e-12,23.2242070237962
"ROCK2","ENSG00000134318","ROCK2","ENSG00000134318.12",10145,"protein_coding","9475",-1.11762196441067,6.52502476018296,-9.20027749662853,1.03560006977368e-14,2.40083690751939e-12,22.8920391493356
"CXCR2P1","ENSG00000229754","CXCR2P1","ENSG00000229754.1",2503,"transcribed_unprocessed_pseudogene",NA,3.18756339959814,-0.621320987296742,9.18374054067405,1.12231948746502e-14,2.55851432492441e-12,22.8238233218725
"AVL9","ENSG00000105778","AVL9","ENSG00000105778.16",14751,"protein_coding","23080",-0.948645747403645,6.71966732708,-9.17718902028578,1.15864994027179e-14,2.58659029232165e-12,22.775104164004
"VAMP5","ENSG00000168899","VAMP5","ENSG00000168899.4",819,"protein_coding","10791",1.73895239352726,3.88964539093417,9.17332250226993,1.18064023191474e-14,2.58659029232165e-12,22.881689167282
"HLA-DRB1","ENSG00000196126","HLA-DRB1","ENSG00000196126.9",1304,"protein_coding","3123",2.32083983995026,7.91844381998885,9.17146246037094,1.19136707425255e-14,2.58659029232165e-12,22.7361437818219
"TBC1D10C","ENSG00000175463","TBC1D10C","ENSG00000175463.10",4993,"protein_coding","374403",1.87027152523722,2.53335641044371,9.13557623747556,1.41848713828625e-14,2.98879047899179e-12,22.7635718049804
"FASLG","ENSG00000117560","FASLG","ENSG00000117560.7",1888,"protein_coding","356",2.9763550836153,-0.704956429337953,9.13531063802232,1.42032008432861e-14,2.98879047899179e-12,22.5915974465528
"HLA-DPA1","ENSG00000231389","HLA-DPA1","ENSG00000231389.6",5748,"protein_coding","3113",2.43418693072969,7.12638341007367,9.12482436437589,1.49461074936004e-14,3.09746754996161e-12,22.5110414145407
"LIMD2","ENSG00000136490","LIMD2","ENSG00000136490.7",4745,"protein_coding","80774",1.39874077280728,3.85323212485163,9.08356113525473,1.82661842419777e-14,3.72902788151897e-12,22.4503259130815
"TRG-AS1","ENSG00000281103","TRG-AS1","ENSG00000281103.1",4130,"antisense","100506776",2.00458006030429,-0.349321334276616,9.02980642538086,2.37202710980396e-14,4.70156739407586e-12,22.1436607357656
"TRAC","ENSG00000277734","TRAC","ENSG00000277734.3",1968,"TR_C_gene",NA,1.8928440823879,3.96267884771695,9.02919204279576,2.37912032085209e-14,4.70156739407586e-12,22.1867474305849
"C1QC","ENSG00000159189","C1QC","ENSG00000159189.10",1335,"protein_coding","714",2.08616408773331,6.54445711815272,9.02686968280871,2.40612456196308e-14,4.70156739407586e-12,22.04258476829
"CD6","ENSG00000013725","CD6","ENSG00000013725.13",5958,"protein_coding","923",1.62432932841777,3.01246865856807,9.00464601301527,2.68053759967656e-14,5.16399905470084e-12,22.1240781964563
"GNGT2","ENSG00000167083","GNGT2","ENSG00000167083.5",1689,"protein_coding","2793",1.50002488881873,-0.0973641568687449,8.99191816724245,2.85155778689862e-14,5.41716769572212e-12,21.9909206809651
"UBE2L6","ENSG00000156587","UBE2L6","ENSG00000156587.14",2197,"protein_coding","9246",1.71387041037752,6.46681558934506,8.95741897723708,3.37193282610804e-14,6.31798591719257e-12,21.7077463003103
"NCF1C","ENSG00000165178","NCF1C","ENSG00000165178.9",1427,"unprocessed_pseudogene","654817",2.05328997450761,0.46033336470326,8.94040459481837,3.66248606094334e-14,6.76966004615987e-12,21.7896935726544
"CADPS","ENSG00000163618","CADPS","ENSG00000163618.16",14638,"protein_coding","8618",-3.147723722538,3.17843494250556,-8.93227340920855,3.81004407016043e-14,6.94850437222057e-12,21.7897744259453
"NCR3","ENSG00000204475","NCR3","ENSG00000204475.8",1212,"protein_coding","259197",2.20465372251771,-1.75466203129675,8.91498133510149,4.14388469216332e-14,7.45790194992235e-12,21.456339689443
"SPN","ENSG00000197471","SPN","ENSG00000197471.10",7382,"protein_coding","6693",1.63838169449323,3.0807507141705,8.87883633606022,4.93904792485558e-14,8.77354513197073e-12,21.5205072199585
"VWA8","ENSG00000102763","VWA8","ENSG00000102763.14",7633,"protein_coding","23078",-0.928867621089839,5.09032244784801,-8.86314531427161,5.33006683411533e-14,9.34675053295251e-12,21.3189725171522
"CD300LF","ENSG00000186074","CD300LF","ENSG00000186074.17",2161,"protein_coding","146722",1.76324496557586,1.59076969186413,8.8368455706751,6.0560028672335e-14,1.03800580053444e-11,21.3473491916906
"TNFAIP8L2","ENSG00000163154","TNFAIP8L2","ENSG00000163154.5",1178,"protein_coding","79626",1.44084754054579,1.3776113598332,8.83633279493441,6.07109694712352e-14,1.03800580053444e-11,21.340884610309
"C1QA","ENSG00000173372","C1QA","ENSG00000173372.15",1272,"protein_coding","712",1.94647799842317,6.16030870600343,8.7939280448366,7.45858132229153e-14,1.25948734970745e-11,20.9278971123968
"HLA-DOA","ENSG00000204252","HLA-DOA","ENSG00000204252.11",4012,"protein_coding","3111",2.54177103875106,3.91893003431721,8.76949218910525,8.39757841197732e-14,1.40075704291495e-11,20.9531598133777
"CD40","ENSG00000101017","CD40","ENSG00000101017.12",2527,"protein_coding","958",1.71718899495696,3.67778607094574,8.75766662727779,8.89349687347752e-14,1.4656054245232e-11,20.9042349130503
"TYROBP","ENSG00000011600","TYROBP","ENSG00000011600.10",907,"protein_coding","7305",1.91063797327668,4.88254322066443,8.73788921475823,9.78907492355307e-14,1.59398770005189e-11,20.7197994534185
"IL21R","ENSG00000103522","IL21R","ENSG00000103522.14",5467,"protein_coding","50615",1.83286521152388,1.46945899974302,8.71481589841973,1.09482889678957e-13,1.76177290003386e-11,20.7696974293322
"IL12RB1","ENSG00000096996","IL12RB1","ENSG00000096996.14",4298,"protein_coding","3594",1.99017337595815,2.31831303345551,8.70799524165746,1.13165052462604e-13,1.78575905324282e-11,20.7357924295686
"KDM7A","ENSG00000006459","KDM7A","ENSG00000006459.9",9430,"protein_coding","80853",-0.99908342775299,5.8386071842511,-8.70723216523694,1.13584615903002e-13,1.78575905324282e-11,20.5369370949607
"SLC15A3","ENSG00000110446","SLC15A3","ENSG00000110446.8",6119,"protein_coding","51296",1.72406595946502,4.74359376200877,8.68321345326297,1.27615078003188e-13,1.983544360145e-11,20.4651329361415
"GLIPR2","ENSG00000122694","GLIPR2","ENSG00000122694.14",3055,"protein_coding","152007",1.27614445498107,4.39019779465829,8.66514114180508,1.39301044391669e-13,2.14085357886432e-11,20.4011939770376
"UBR5","ENSG00000104517","UBR5","ENSG00000104517.11",13085,"protein_coding","51366",-0.909625146011584,6.55720399611582,-8.65352160466166,1.47372577453512e-13,2.23973568267682e-11,20.2578812444938
"CD3G","ENSG00000160654","CD3G","ENSG00000160654.8",3836,"protein_coding","917",1.86314339950695,1.32584714894181,8.64934630407567,1.5038557400886e-13,2.26041085856394e-11,20.4588314127826
"DBH-AS1","ENSG00000225756","DBH-AS1","ENSG00000225756.1",2139,"antisense","138948",2.30064351452982,-0.899172387349583,8.64549358444112,1.53220295989554e-13,2.27798609624469e-11,20.3088886872215
"GMFG","ENSG00000130755","GMFG","ENSG00000130755.11",1490,"protein_coding","9535",1.22792081879097,3.21249542606088,8.61776153853196,1.75260642775344e-13,2.57765061492597e-11,20.2667641113218
"SOCS1","ENSG00000185338","SOCS1","ENSG00000185338.4",1225,"protein_coding","8651",1.976892258654,2.66919169480042,8.59198158516419,1.98577261021251e-13,2.88951040026454e-11,20.1755641643853
"GAS2L1","ENSG00000185340","GAS2L1","ENSG00000185340.14",4481,"protein_coding","10634",1.28869678569274,4.54659696279136,8.56459913273429,2.26741385626193e-13,3.23835314936858e-11,19.9078651490387
"C19orf38","ENSG00000214212","C19orf38","ENSG00000214212.7",1565,"protein_coding","255809",1.80355628791227,0.419875153704771,8.56410369339554,2.27286081546559e-13,3.23835314936858e-11,20.028440152637
"CD74","ENSG00000019582","CD74","ENSG00000019582.13",3184,"protein_coding","972",2.00653339364543,10.1415721140678,8.52229676268642,2.78281355458171e-13,3.92405399995553e-11,19.6286775197941
"SECTM1","ENSG00000141574","SECTM1","ENSG00000141574.6",2961,"protein_coding","6398",2.12835896145776,4.56720639874387,8.51641449386882,2.8631890630568e-13,3.99619387800927e-11,19.6865271582833
"IGFLR1","ENSG00000126246","IGFLR1","ENSG00000126246.8",2203,"protein_coding","79713",1.23567171064524,0.257008394253608,8.49852046601588,3.1222120547657e-13,4.3136986348571e-11,19.7149357027905
"TTC37","ENSG00000198677","TTC37","ENSG00000198677.9",8092,"protein_coding","9652",-1.02826267902218,5.83098263564818,-8.47454773130368,3.50622391458417e-13,4.79581307036823e-11,19.4219844946338
"ZAP70","ENSG00000115085","ZAP70","ENSG00000115085.12",5111,"protein_coding","7535",2.02556689001748,2.27335490660815,8.45924142567805,3.7756993548271e-13,5.11326888864605e-11,19.5593416574224
"AKAP11","ENSG00000023516","AKAP11","ENSG00000023516.8",9920,"protein_coding","11215",-1.08572371092144,5.87851924132471,-8.45325877513309,3.88655684799733e-13,5.21179652616741e-11,19.3203639795769
"FBXO6","ENSG00000116663","FBXO6","ENSG00000116663.9",1811,"protein_coding","26270",1.49067003347496,4.06694776429461,8.44857999269185,3.97551132914537e-13,5.27932465631558e-11,19.3963240654752
"RASAL3","ENSG00000105122","RASAL3","ENSG00000105122.11",4681,"protein_coding","64926",1.58946482568705,2.99323220068947,8.43634798909579,4.21778198617006e-13,5.54719442373404e-11,19.419337160386
"DPY19L3","ENSG00000178904","DPY19L3","ENSG00000178904.17",10781,"protein_coding","147991",-0.915407863864648,4.37581527253081,-8.43125165277325,4.32301670156783e-13,5.6314497565757e-11,19.3004765863601
"AGTRAP","ENSG00000177674","AGTRAP","ENSG00000177674.14",2435,"protein_coding","57085",0.815788584659257,5.41897577126421,8.42702866796905,4.41219867088527e-13,5.66350758474082e-11,19.1908869253731
"IRF1","ENSG00000125347","IRF1","ENSG00000125347.12",7799,"protein_coding","3659",1.45395805012463,7.05590744147488,8.42617548353242,4.43043801409028e-13,5.66350758474082e-11,19.1512540865963
"ARHGAP9","ENSG00000123329","ARHGAP9","ENSG00000123329.16",5127,"protein_coding","64333",1.57502234658125,2.99237790438809,8.41626788593526,4.6478301276382e-13,5.88639078572549e-11,19.3239318834629
"CD96","ENSG00000153283","CD96","ENSG00000153283.11",5762,"protein_coding","10225",1.99186743292652,1.82223535922192,8.39111370687777,5.24875240310577e-13,6.58646196052116e-11,19.2455745593633
"CYP39A1","ENSG00000146233","CYP39A1","ENSG00000146233.6",3111,"protein_coding","51302",-1.96429927726918,2.57725611613998,-8.38099219508922,5.51187220209809e-13,6.85376254366342e-11,19.1849615311978
"H3F3A","ENSG00000163041","H3F3A","ENSG00000163041.8",3146,"protein_coding","3020",-1.56870667024042,4.23158007177238,-8.37550095950611,5.66008511706264e-13,6.97465263343989e-11,19.0658420680978
"MT2A","ENSG00000125148","MT2A","ENSG00000125148.6",1299,"protein_coding","4502",2.06804719891557,5.88295257058587,8.36717714955913,5.8923639561059e-13,7.14325180936062e-11,18.8912592323358
"CIITA","ENSG00000179583","CIITA","ENSG00000179583.16",14152,"protein_coding","4261",2.39840915879262,4.49803526740345,8.36686153703251,5.90135585946593e-13,7.14325180936062e-11,18.9832648978977
"SEPT1","ENSG00000180096","SEPT1","ENSG00000180096.10",4217,"protein_coding","1731",1.36698910718317,2.89708780325018,8.35784507365565,6.16409841768687e-13,7.39583668044921e-11,19.0520241307317
"PLEKHF1","ENSG00000166289","PLEKHF1","ENSG00000166289.5",2681,"protein_coding","79156",1.41496248763114,2.84031451983867,8.3412918218335,6.67720094079261e-13,7.94180473636185e-11,18.9770486263001
"GALNT4","ENSG00000257594","GALNT4","ENSG00000257594.3",5399,"protein_coding","8693",-1.71172901214527,1.62427680360591,-8.33009175769199,7.0483109777006e-13,8.31093082353351e-11,18.9600060618924
"LTN1","ENSG00000198862","LTN1","ENSG00000198862.12",8876,"protein_coding","26046",-1.21901189223909,4.38163600857685,-8.32298231206304,7.29447826017481e-13,8.48860903888568e-11,18.7902069951269
"MAP4K1","ENSG00000104814","MAP4K1","ENSG00000104814.11",3953,"protein_coding","11184",1.6939390493184,2.24001818368287,8.32217080789499,7.32311643945395e-13,8.48860903888568e-11,18.9124718165501
"HLA-DQA1","ENSG00000196735","HLA-DQA1","ENSG00000196735.10",6927,"protein_coding","3117",2.24784179217474,5.95554616235514,8.30251640595967,8.05201797437767e-13,9.25508418937292e-11,18.5813811872674
"UROD","ENSG00000126088","UROD","ENSG00000126088.11",2908,"protein_coding","7389",0.801648767417775,5.3476106755086,8.29348411346378,8.41082411797587e-13,9.47962569902791e-11,18.5562362112217
"HLA-DRA","ENSG00000204287","HLA-DRA","ENSG00000204287.12",1280,"protein_coding","3122",2.18652983446697,8.58626464090416,8.29279543171577,8.43882709092907e-13,9.47962569902791e-11,18.5192273789782
"SELPLG","ENSG00000110876","SELPLG","ENSG00000110876.9",2494,"protein_coding","6404",1.5974584322345,3.89334603502596,8.29239166069834,8.45528831175175e-13,9.47962569902791e-11,18.6676553147659
"ACP2","ENSG00000134575","ACP2","ENSG00000134575.8",3484,"protein_coding","53",0.851739311706091,5.50523374623119,8.26583110290595,9.61147698955222e-13,1.06882749807395e-10,18.4166054533036
"CD300A","ENSG00000167851","CD300A","ENSG00000167851.12",2686,"protein_coding","11314",1.60935644613484,3.24206399436339,8.26192280389253,9.79441958633814e-13,1.08038767017688e-10,18.5757010890591
"TIGIT","ENSG00000181847","TIGIT","ENSG00000181847.10",6091,"protein_coding","201633",1.80874092950874,1.7393628231488,8.23972171995205,1.09014596138712e-12,1.19288131678824e-10,18.5345667638924
"SPI1","ENSG00000066336","SPI1","ENSG00000066336.10",2069,"protein_coding","6688",1.62619936827268,4.15054399509199,8.2332347230998,1.12478717496962e-12,1.2210189666059e-10,18.3642791298124
"CCR5","ENSG00000160791","CCR5","ENSG00000160791.13",3672,"protein_coding","1234",1.81485367161427,2.38926165459608,8.22608595191523,1.16423439590452e-12,1.25388961158914e-10,18.4543093066334
"ACAP1","ENSG00000072818","ACAP1","ENSG00000072818.10",7421,"protein_coding","9744",1.50373926098612,3.07250203112812,8.21320141093591,1.23884619512116e-12,1.31501285638088e-10,18.3563136645942
"MYO1G","ENSG00000136286","MYO1G","ENSG00000136286.13",8653,"protein_coding","64005",1.61943801669123,3.34014483659125,8.21297226761576,1.24021537120291e-12,1.31501285638088e-10,18.3374333698932
"APOBEC3D","ENSG00000243811","APOBEC3D","ENSG00000243811.6",2545,"protein_coding","140564",1.72099632578739,1.71044802978941,8.20684843388045,1.27737052369616e-12,1.34399030947047e-10,18.3806137112899
"CRTAM","ENSG00000109943","CRTAM","ENSG00000109943.7",2675,"protein_coding","56253",2.34205867169696,-0.850901099992669,8.17348403796337,1.50017009302913e-12,1.566360804004e-10,18.1394287093806
"TRGC2","ENSG00000227191","TRGC2","ENSG00000227191.5",2357,"TR_C_gene",NA,2.5193833006332,-1.04593922787413,8.1685257141856,1.53643370742014e-12,1.59207123106763e-10,18.1016522999088
"NAA38","ENSG00000183011","NAA38","ENSG00000183011.12",1943,"protein_coding","84316",1.20479225321219,5.16764200117896,8.14498528273662,1.72088215895402e-12,1.75954650697033e-10,17.8598251177345
"TNFRSF8","ENSG00000120949","TNFRSF8","ENSG00000120949.13",3738,"protein_coding","943",1.50570967102075,-0.000251411526390527,8.14463532952568,1.72378441244352e-12,1.75954650697033e-10,18.0589791283922
"UBASH3A","ENSG00000160185","UBASH3A","ENSG00000160185.12",3091,"protein_coding","53347",1.76856034639937,0.451494466213481,8.13009305263594,1.84879898279568e-12,1.87317573975402e-10,18.0087105297047
"PSTPIP1","ENSG00000140368","PSTPIP1","ENSG00000140368.11",4468,"protein_coding","9051",1.53988090425092,2.15474163389831,8.12350832694841,1.90833817473448e-12,1.90774497354867e-10,17.9796892703428
"RGS19","ENSG00000171700","RGS19","ENSG00000171700.12",2028,"protein_coding","10287",1.23096814650112,3.47312613768804,8.12323902789751,1.91081343307623e-12,1.90774497354867e-10,17.8984296762097
"TRGC1","ENSG00000211689","TRGC1","ENSG00000211689.5",3815,"TR_C_gene","445347",2.28551710318035,-2.13423696583966,8.11898826748065,1.95031070669944e-12,1.93306882943732e-10,17.7887170569806
